,barbell bench press,incline barbell press,flat dumbbell fly,seated chest press,machine fly,cable chest fly
2020-02-17,35,25,25,40,32.5,17
2020-02-24,40,25,25,35,35,17
2020-03-02,37.5,22.5,20,40,35,15
2020-03-09,37.5,30,25,40,40,17
2020-03-16,40,30,25,40,40,17
2020-05-25,35,20,20,35,40,11.5
2020-06-01,35,20,20,40,40,17
2020-06-08,35,22.5,25,40,42.5,18.5
2020-06-15,40,25,25,42.5,45,20
2020-06-22,40,25,25,42.5,50,30
2020-06-29,42.5,27.5,30,45,47.5,20
2020-07-06,45,25,30,45,30,17
2020-07-13,45,30,30,45,40,17
2020-07-20,45,30,25,45,35,17
2020-07-27,45,30,30,50,40,17
2020-08-03,45,30,30,50,40,17